brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url,energy_kwh_per_km,frontal_area_m2,drag_coefficient,drag_power_kw,drag_energy_kwh_per_km,drag_loss_percent,mass_kg,roll_force_n,rolling_resistance_kwh_per_km,rolling_resistance_loss_percent,predicted_range_km,predicted_range_adjusted_km,km_per_kwh
Audi,Q4 e-tron 40,160,59.0,Lithium-ion,310.0,159,325,8.1,110.0,CCS,1000.0,520.0,5,RWD,JC - Medium,4588,1865,1632,suv,https://ev-database.org/car/3148/Audi-Q4-e-tron-40,0.159,2.587128,0.35,8.665868203125,0.34663472812499996,218.0092629716981,2000.0,235.44,0.0654,41.132075471698116,371.0691823899371,103.32121164281422,6.289308176100628
Audi,Q4 e-tron 45,180,77.0,Lithium-ion,545.0,169,420,6.7,120.0,CCS,1000.0,520.0,5,RWD,JC - Medium,4588,1865,1632,suv,https://ev-database.org/car/2013/Audi-Q4-e-tron-45,0.169,2.587128,0.35,8.665868203125,0.34663472812499996,205.10930658284022,2000.0,235.44,0.0654,38.69822485207101,455.6213017751479,132.52219922977602,5.9171597633136095
Audi,Q4 e-tron 45 quattro,180,77.0,Lithium-ion,679.0,171,395,6.6,120.0,CCS,1200.0,520.0,5,AWD,JC - Medium,4588,1865,1632,suv,https://ev-database.org/car/2014/Audi-Q4-e-tron-45-quattro,0.171,2.587128,0.35,8.665868203125,0.34663472812499996,202.7103673245614,2000.0,235.44,0.0654,38.24561403508772,450.29239766081866,132.06760469934056,5.847953216374268
Audi,Q4 e-tron 55 quattro,180,77.0,Lithium-ion,679.0,171,395,5.4,120.0,CCS,1200.0,520.0,5,AWD,JC - Medium,4588,1865,1632,suv,https://ev-database.org/car/2015/Audi-Q4-e-tron-55-quattro,0.171,2.587128,0.35,8.665868203125,0.34663472812499996,202.7103673245614,2000.0,235.44,0.0654,38.24561403508772,450.29239766081866,132.06760469934056,5.847953216374268
Audi,Q6 e-tron,210,75.8,Lithium-ion,450.0,166,395,7.0,150.0,CCS,2000.0,526.0,5,RWD,JD - Large,4771,1939,1685,suv,https://ev-database.org/car/2281/Audi-Q6-e-tron,0.166,2.77713275,0.35,9.302309895019532,0.37209239580078124,224.15204566312124,2000.0,235.44,0.0654,39.397590361445786,456.62650602409633,125.60224540927325,6.024096385542168
Audi,Q6 e-tron Sportback,210,75.8,Lithium-ion,450.0,139,410,7.0,150.0,CCS,2000.0,511.0,5,RWD,JD - Large,4771,1939,1665,suv,https://ev-database.org/car/3041/Audi-Q6-e-tron-Sportback,0.139,2.7441697499999997,0.35,9.191896721191403,0.36767586884765613,264.5150135594648,2000.0,235.44,0.0654,47.05035971223021,545.3237410071941,132.49990801514744,7.194244604316546
Audi,Q6 e-tron Sportback performance,210,94.9,Lithium-ion,485.0,145,510,6.6,190.0,CCS,2000.0,511.0,5,RWD,JD - Large,4771,1939,1665,suv,https://ev-database.org/car/3042/Audi-Q6-e-tron-Sportback-performance,0.145,2.7441697499999997,0.35,9.191896721191403,0.36767586884765613,253.56956472252148,2000.0,235.44,0.0654,45.10344827586207,654.4827586206898,164.16530271221126,6.8965517241379315
Audi,Q6 e-tron Sportback quattro,210,94.9,Lithium-ion,855.0,149,500,5.9,200.0,CCS,2400.0,511.0,5,AWD,JD - Large,4771,1939,1665,suv,https://ev-database.org/car/3043/Audi-Q6-e-tron-Sportback-quattro,0.149,2.7441697499999997,0.35,9.191896721191403,0.36767586884765613,246.76232808567528,2000.0,235.44,0.0654,43.892617449664435,636.9127516778524,163.037165907384,6.7114093959731544
Audi,Q6 e-tron performance,210,94.9,Lithium-ion,485.0,171,490,6.6,190.0,CCS,2000.0,526.0,5,RWD,JD - Large,4771,1939,1685,suv,https://ev-database.org/car/2215/Audi-Q6-e-tron-performance,0.171,2.77713275,0.35,9.302309895019532,0.37209239580078124,217.5978922811586,2000.0,235.44,0.0654,38.24561403508772,554.9707602339181,155.9592209449237,5.847953216374268
Audi,Q6 e-tron quattro,210,94.9,Lithium-ion,855.0,176,480,5.9,200.0,CCS,2400.0,470.0,5,AWD,JD - Large,4771,1939,1685,suv,https://ev-database.org/car/2146/Audi-Q6-e-tron-quattro,0.176,2.77713275,0.35,9.302309895019532,0.37209239580078124,211.4161339777166,2000.0,235.44,0.0654,37.159090909090914,539.2045454545455,154.68814389480514,5.6818181818181825
Audi,S6 Avant e-tron,240,94.9,Lithium-ion,855.0,156,530,3.9,200.0,CCS,2100.0,502.0,5,AWD,JE - Executive,4928,1923,1493,station/estate,https://ev-database.org/car/2273/Audi-S6-Avant-e-tron,0.156,2.4403831499999997,,,,,,,,,608.3333333333334,,6.410256410256411
Audi,S6 Sportback e-tron,240,94.9,Lithium-ion,855.0,149,555,3.9,200.0,CCS,2100.0,502.0,5,AWD,JE - Executive,4928,1923,1465,liftback sedan,https://ev-database.org/car/2271/Audi-S6-Sportback-e-tron,0.149,2.39461575,,,,,,,,,636.9127516778524,,6.7114093959731544
Audi,SQ6 e-tron,230,94.9,Lithium-ion,855.0,169,470,4.3,200.0,CCS,2400.0,514.0,5,AWD,JD - Large,4771,1965,1685,suv,https://ev-database.org/car/2147/Audi-SQ6-e-tron,0.169,2.8143712499999998,0.35,9.427044323730469,0.37708177294921874,223.12530943740754,2000.0,235.44,0.0654,38.69822485207101,561.5384615384615,155.19677641786566,5.9171597633136095
Audi,SQ6 e-tron Sportback,230,94.9,Lithium-ion,855.0,164,495,4.3,200.0,CCS,2400.0,511.0,5,AWD,JD - Large,4771,1965,1665,suv,https://ev-database.org/car/3044/Audi-SQ6-e-tron-Sportback,0.164,2.78096625,0.35,9.315150622558594,0.37260602490234374,227.1987956721608,2000.0,235.44,0.0654,39.8780487804878,578.6585365853658,157.6396183333788,6.097560975609756
Audi,e-tron GT RS,250,97.0,Lithium-ion,865.0,184,525,2.8,281.0,CCS,0.0,350.0,4,AWD,F - Luxury,4997,1964,1389,sedan,https://ev-database.org/car/2220/Audi-e-tron-GT-RS,0.184,2.3187966,0.28,6.213650264062502,0.24854601056250009,135.07935356657615,1600.0,188.352,0.05232,28.434782608695652,527.1739130434783,200.0552686451849,5.434782608695652
Audi,e-tron GT RS performance,250,97.0,Lithium-ion,1027.0,182,525,2.5,281.0,CCS,0.0,350.0,4,AWD,F - Luxury,4997,1964,1389,sedan,https://ev-database.org/car/2221/Audi-e-tron-GT-RS-performance,0.182,2.3187966,0.28,6.213650264062502,0.24854601056250009,136.56374206730774,1600.0,188.352,0.05232,28.747252747252748,532.967032967033,200.8838847178388,5.4945054945054945
Audi,e-tron GT S,245,97.0,Lithium-ion,740.0,172,540,3.4,281.0,CCS,0.0,405.0,4,AWD,F - Luxury,5004,1964,1394,sedan,https://ev-database.org/car/2219/Audi-e-tron-GT-S,0.172,2.3271436,0.28,6.236017615625002,0.2494407046250001,145.0236654796512,1600.0,188.352,0.05232,30.418604651162795,563.953488372093,204.74471405723543,5.813953488372094
Audi,e-tron GT quattro,245,97.0,Lithium-ion,625.0,169,540,4.0,281.0,CCS,0.0,405.0,4,AWD,F - Luxury,5004,1964,1394,sedan,https://ev-database.org/car/3182/Audi-e-tron-GT-quattro,0.169,2.3271436,0.28,6.236017615625002,0.2494407046250001,147.59805007396454,1600.0,188.352,0.05232,30.9585798816568,573.96449704142,206.04948341486687,5.9171597633136095
BMW,i4 M50,225,81.3,Lithium-ion,795.0,197,450,3.9,131.0,CCS,1600.0,470.0,5,AWD,D - Large,4783,1852,1448,liftback sedan,https://ev-database.org/car/2201/BMW-i4-M50,0.197,2.2794416,,,,,,,,,412.6903553299492,,5.0761421319796955
BMW,i4 eDrive35,190,67.1,Lithium-ion,400.0,174,430,6.0,95.0,CCS,1600.0,470.0,5,RWD,D - Large,4783,1852,1448,liftback sedan,https://ev-database.org/car/2198/BMW-i4-eDrive35,0.174,2.2794416,,,,,,,,,385.632183908046,,5.74712643678161
BMW,i4 eDrive40,190,81.3,Lithium-ion,430.0,174,515,5.6,131.0,CCS,1600.0,470.0,5,RWD,D - Large,4783,1852,1448,liftback sedan,https://ev-database.org/car/2199/BMW-i4-eDrive40,0.174,2.2794416,,,,,,,,,467.2413793103448,,5.74712643678161
BMW,i4 xDrive40,200,81.3,Lithium-ion,600.0,183,490,5.1,131.0,CCS,1600.0,470.0,5,AWD,D - Large,4783,1852,1448,liftback sedan,https://ev-database.org/car/2200/BMW-i4-xDrive40,0.183,2.2794416,,,,,,,,,444.2622950819672,,5.46448087431694
BMW,i5 M60 xDrive Sedan (MY25),230,81.2,Lithium-ion,795.0,172,430,3.8,136.0,CCS,2000.0,490.0,5,AWD,E - Executive,5060,1900,1505,sedan,https://ev-database.org/car/3114/BMW-i5-M60-xDrive-Sedan,0.172,2.4305749999999997,0.28,6.513181445312501,0.2605272578125,151.46933593750003,1600.0,188.352,0.05232,30.418604651162795,472.093023255814,167.4754238403915,5.813953488372094
BMW,i5 M60 xDrive Touring (MY25),230,81.2,Lithium-ion,795.0,179,425,3.9,136.0,CCS,2000.0,570.0,5,AWD,E - Executive,5060,1900,1505,station/estate,https://ev-database.org/car/3117/BMW-i5-M60-xDrive-Touring,0.179,2.4305749999999997,,,,,,,,,453.63128491620114,,5.58659217877095
BMW,i5 eDrive40 Sedan (MY25),193,81.2,Lithium-ion,400.0,159,480,6.0,136.0,CCS,1500.0,490.0,5,RWD,E - Executive,5060,1900,1515,sedan,https://ev-database.org/car/3112/BMW-i5-eDrive40-Sedan,0.159,2.446725,0.28,6.556458398437501,0.26225833593750003,164.94234964622643,1600.0,188.352,0.05232,32.90566037735849,510.69182389937106,171.46054588678712,6.289308176100628
BMW,i5 eDrive40 Touring (MY25),193,81.2,Lithium-ion,400.0,165,465,6.1,136.0,CCS,1500.0,570.0,5,RWD,E - Executive,5060,1900,1515,station/estate,https://ev-database.org/car/3115/BMW-i5-eDrive40-Touring,0.165,2.446725,,,,,,,,,492.1212121212121,,6.0606060606060606
BMW,i5 xDrive40 Sedan (MY25),215,81.2,Lithium-ion,590.0,167,465,5.4,136.0,CCS,2000.0,490.0,5,AWD,E - Executive,5060,1900,1515,sedan,https://ev-database.org/car/3113/BMW-i5-xDrive40-Sedan,0.167,2.446725,0.28,6.556458398437501,0.26225833593750003,157.0409197230539,1600.0,188.352,0.05232,31.329341317365266,486.22754491017963,168.61223593442182,5.988023952095808
BMW,i5 xDrive40 Touring (MY25),215,81.2,Lithium-ion,590.0,174,450,5.5,136.0,CCS,2000.0,570.0,5,AWD,E - Executive,5060,1900,1515,station/estate,https://ev-database.org/car/3116/BMW-i5-xDrive40-Touring,0.174,2.446725,,,,,,,,,466.66666666666674,,5.74712643678161
BMW,i7 M70 xDrive,250,101.7,Lithium-ion,1100.0,208,490,3.7,159.0,CCS,0.0,500.0,5,AWD,F - Luxury,5391,1950,1544,sedan,https://ev-database.org/car/1838/BMW-i7-M70-xDrive,0.208,2.55918,0.28,6.857802656250001,0.2743121062500001,131.88082031250005,1600.0,188.352,0.05232,25.153846153846153,488.94230769230774,190.2242660160105,4.8076923076923075
BMW,i7 eDrive50,205,101.7,Lithium-ion,650.0,177,520,5.5,159.0,CCS,0.0,500.0,5,RWD,F - Luxury,5391,1950,1544,sedan,https://ev-database.org/car/1905/BMW-i7-eDrive50,0.177,2.55918,0.28,6.857802656250001,0.2743121062500001,154.97859110169497,1600.0,188.352,0.05232,29.559322033898304,574.5762711864407,201.93311494227237,5.649717514124294
BMW,i7 xDrive60,240,101.7,Lithium-ion,745.0,172,510,4.7,159.0,CCS,2000.0,500.0,5,AWD,F - Luxury,5391,1950,1544,sedan,https://ev-database.org/car/1676/BMW-i7-xDrive60,0.172,2.55918,0.28,6.857802656250001,0.2743121062500001,159.48378270348843,1600.0,188.352,0.05232,30.418604651162795,591.2790697674419,203.95798570782463,5.813953488372094
BMW,iX M70 xDrive,250,108.9,Lithium-ion,1015.0,209,500,3.8,150.0,CCS,2500.0,500.0,5,AWD,JE - Executive,4965,1970,1695,suv,https://ev-database.org/car/3111/BMW-iX-M70-xDrive,0.209,2.8382775,0.35,9.507120922851561,0.38028483691406245,181.9544674229964,2000.0,235.44,0.0654,31.29186602870814,521.0526315789474,166.3395787709298,4.784688995215311
BMW,iX xDrive45,200,94.8,Lithium-ion,700.0,193,470,5.1,115.0,CCS,2500.0,500.0,5,AWD,JE - Executive,4965,1970,1695,suv,https://ev-database.org/car/3109/BMW-iX-xDrive45,0.193,2.8382775,0.35,9.507120922851561,0.38028483691406245,197.03877560314115,2000.0,235.44,0.0654,33.8860103626943,491.19170984455957,148.43001511989192,5.181347150259067
BMW,iX xDrive60,200,109.1,Lithium-ion,765.0,194,525,4.6,150.0,CCS,2500.0,500.0,5,AWD,JE - Executive,4965,1970,1695,suv,https://ev-database.org/car/3110/BMW-iX-xDrive60,0.194,2.8382775,0.35,9.507120922851561,0.38028483691406245,196.0231118113724,2000.0,235.44,0.0654,33.71134020618556,562.3711340206185,170.55273738598382,5.154639175257731
BMW,iX1 eDrive20,170,64.7,Lithium-ion,247.0,150,390,8.3,94.0,CCS,750.0,490.0,5,FWD,JC - Medium,4500,1845,1616,suv,https://ev-database.org/car/1996/BMW-iX1-eDrive20,0.15,2.5342919999999998,0.35,8.488888242187498,0.3395555296874999,226.37035312499995,2000.0,235.44,0.0654,43.6,431.33333333333337,116.58591822020966,6.666666666666667
BMW,iX1 xDrive30,180,64.7,Lithium-ion,494.0,155,380,5.6,94.0,CCS,1200.0,490.0,5,AWD,JC - Medium,4500,1845,1616,suv,https://ev-database.org/car/1701/BMW-iX1-xDrive30,0.155,2.5342919999999998,0.35,8.488888242187498,0.3395555296874999,219.06808366935476,2000.0,235.44,0.0654,42.193548387096776,417.4193548387097,115.54488985242772,6.451612903225807
BMW,iX2 eDrive20,170,64.7,Lithium-ion,247.0,147,395,8.6,94.0,CCS,750.0,525.0,5,FWD,JC - Medium,4554,1845,1560,suv,https://ev-database.org/car/2097/BMW-iX2-eDrive20,0.147,2.4464699999999997,0.35,8.19471884765625,0.32778875390624995,222.98554687499998,2000.0,235.44,0.0654,44.48979591836735,440.13605442176873,119.77294886673764,6.802721088435375
BMW,iX2 xDrive30,180,64.7,Lithium-ion,494.0,155,385,5.6,94.0,CCS,1200.0,525.0,5,AWD,JC - Medium,4554,1845,1560,suv,https://ev-database.org/car/2040/BMW-iX2-xDrive30,0.155,2.4464699999999997,0.35,8.19471884765625,0.32778875390624995,211.47661542338705,2000.0,235.44,0.0654,42.193548387096776,417.4193548387097,118.02504071629468,6.451612903225807
BYD,ATTO 2,160,45.1,Lithium-ion,290.0,145,245,7.9,51.0,CCS,750.0,400.0,5,FWD,JB - Compact,4310,1830,1675,suv,https://ev-database.org/car/3125/BYD-ATTO-2,0.145,2.6054625,0.35,8.727281616210936,0.3490912646484374,240.7525963092672,2000.0,235.44,0.0654,45.10344827586207,311.0344827586207,80.60894396329688,6.8965517241379315
BYD,ATTO 3 (MY25),160,60.5,Lithium-ion,310.0,144,340,7.3,75.0,CCS,750.0,440.0,5,FWD,JC - Medium,4455,1875,1615,suv,https://ev-database.org/car/3192/BYD-ATTO-3,0.144,2.57390625,0.35,8.621580505371094,0.3448632202148438,239.48834737141934,2000.0,235.44,0.0654,45.41666666666667,420.1388888888889,109.15391422968489,6.944444444444445
BYD,DOLPHIN 44.9 kWh Active,150,44.9,Lithium-ion,180.0,132,265,12.3,50.0,CCS,0.0,345.0,5,FWD,C - Medium,4290,1770,1570,hatchback,https://ev-database.org/car/1917/BYD-DOLPHIN-449-kWh-Active,0.132,2.362065,0.3,6.78171005859375,0.27126840234375,205.5063654119318,1400.0,164.80800000000002,0.04578000000000001,34.68181818181819,340.1515151515151,99.98922112995005,7.575757575757575
BYD,DOLPHIN 44.9 kWh Boost,160,44.9,Lithium-ion,260.0,145,260,8.0,50.0,CCS,0.0,345.0,5,FWD,C - Medium,4290,1770,1570,hatchback,https://ev-database.org/car/1918/BYD-DOLPHIN-449-kWh-Boost,0.145,2.362065,0.3,6.78171005859375,0.27126840234375,187.0816567887931,1400.0,164.80800000000002,0.04578000000000001,31.572413793103454,309.65517241379314,97.17596635383616,6.8965517241379315
BYD,DOLPHIN 60.4 kWh,160,60.5,Lithium-ion,310.0,142,350,7.0,65.0,CCS,0.0,345.0,5,FWD,C - Medium,4290,1770,1570,hatchback,https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh,0.142,2.362065,0.3,6.78171005859375,0.27126840234375,191.0340861575704,1400.0,164.80800000000002,0.04578000000000001,32.23943661971832,426.0563380281691,131.79438092172182,7.042253521126761
BYD,DOLPHIN SURF 30 kWh Active,150,30.0,Lithium-ion,175.0,136,190,11.1,45.0,CCS,0.0,308.0,4,FWD,B - Compact,3990,1720,1590,hatchback,https://ev-database.org/car/3193/BYD-DOLPHIN-SURF-30-kWh-Active,0.136,2.32458,0.3,6.674087109375,0.266963484375,196.2966796875,1400.0,164.80800000000002,0.04578000000000001,33.661764705882355,220.58823529411762,66.85333836497557,7.352941176470588
BYD,DOLPHIN SURF 43.2 kWh Boost,150,43.2,Lithium-ion,175.0,134,270,12.1,60.0,CCS,0.0,308.0,4,FWD,B - Compact,3990,1720,1590,hatchback,https://ev-database.org/car/3194/BYD-DOLPHIN-SURF-432-kWh-Boost,0.134,2.32458,0.3,6.674087109375,0.266963484375,199.22648087686565,1400.0,164.80800000000002,0.04578000000000001,34.16417910447762,322.3880597014925,96.69978748640816,7.462686567164178
BYD,DOLPHIN SURF 43.2 kWh Comfort,150,43.2,Lithium-ion,220.0,139,265,9.1,60.0,CCS,0.0,308.0,4,FWD,B - Compact,3990,1720,1590,hatchback,https://ev-database.org/car/3195/BYD-DOLPHIN-SURF-432-kWh-Comfort,0.139,2.32458,0.3,6.674087109375,0.266963484375,192.06006070143883,1400.0,164.80800000000002,0.04578000000000001,32.935251798561154,310.7913669064748,95.62949216582157,7.194244604316546
BYD,SEAL 61.4 kWh RWD Comfort,220,61.4,Lithium-ion,380.0,133,365,7.5,75.0,CCS,750.0,400.0,5,RWD,D - Large,4800,1875,1460,sedan,https://ev-database.org/car/3102/BYD-SEAL-614-kWh-RWD-Comfort,0.133,2.326875,0.28,6.235297851562501,0.24941191406250002,187.52775493421052,1600.0,188.352,0.05232,39.33834586466165,461.65413533834584,141.2364678411273,7.518796992481203
BYD,SEAL 82.5 kWh AWD Excellence,180,82.5,Lithium-ion,670.0,159,445,3.8,100.0,CCS,1500.0,400.0,5,AWD,D - Large,4800,1875,1460,sedan,https://ev-database.org/car/2002/BYD-SEAL-825-kWh-AWD-Excellence,0.159,2.326875,0.28,6.235297851562501,0.24941191406250002,156.86283903301887,1600.0,188.352,0.05232,32.90566037735849,518.8679245283018,179.06291594293288,6.289308176100628
BYD,SEAL 82.5 kWh RWD Design,180,82.5,Lithium-ion,360.0,145,480,5.9,100.0,CCS,750.0,400.0,5,RWD,D - Large,4800,1875,1460,sedan,https://ev-database.org/car/2001/BYD-SEAL-825-kWh-RWD-Design,0.145,2.326875,0.28,6.235297851562501,0.24941191406250002,172.00821659482762,1600.0,188.352,0.05232,36.08275862068966,568.9655172413793,184.67451597482656,6.8965517241379315
